_unit_id,segmented_body,languagecomment
1222281157,,-1
1222285733,,-1
1222286720,,-1
1222288714,,-1
1222288673,,0
1222288503,,-1
1222288493,,-1
1222304167,,-1
1222291234,,-1
1222284584,,-1
1222310597,,0
1222309960,,-1
1222305127,,-1
1222305104,,-1
1222307933,,-1
1222307799,,0
1222307624,,-1
1222301521,,0
1222301518,,0
1222301515,,0
1222301512,,-1
1222301510,,-1
1222301503,,-1
1222301502,,-1
1222301501,,-1
1222301490,,0
1222301487,,-1
1222301472,,-1
1222301463,,-1
1222301462,,-1
1222301452,,-1
1222301449,,-1
1222301441,,-1
1222307011,,-1
1222306986,,-1
1222306937,,-1
1222293348,,-1
1222294704,,-1
1222294694,,0
1222294593,هم,-1
1222281824,,0
1222285712,,-1
1222278569,,-1
1222278512,,-1
1222282475,,-1
1222282454,,-1
1222282434,,-1
1222278883,,-1
1222307284,,-1
1222305844,,0
1222305841,,-1
1222296657,,-1
1222296654,,-1
1222296653,,-1
1222296652,,-1
1222296645,,-1
1222296614,,-1
1222301780,,0
1222301674,,-1
1222301622,,0
1222281127,,-1
1222305974,,-1
1222305884,,-1
1222292084,,-1
1222292070,,-1
1222283278,,-1
1222290303,,-1
1222302592,,-1
1222279083,,-1
1222279061,,-1
1222279032,,-1
1222278958,,-1
1222278834,,-1
1222303955,,-1
1222295870,,-1
1222289673,,-1
1222290152,,-1
1222308882,,-1
1222301599,,-1
1222301459,,-1
1222292189,,-2
1222292142,,-1
1222292127,,-1
1222305230,,-1
1222292431,,-1
1222300257,,0
1222297819,,-1
1222301252,,-1
1222289706,,-1
1222306404,,-1
1222306379,,-1
1222306317,,-1
1222306309,,-1
1222306280,,-1
1222288265,,-1
1222288264,,-1
1222288222,,-1
1222288125,"""",-1
1222287793,,-1
1222288760,,-1
1222288663,,-1
1222295423,,-1
1222295414,,-1
1222295224,,-1
1222283569,,-1
1222307724,,-1
1222297160,,0
1222297137,,0
1222297136,,-1
1222297133,,0
1222297130,,-1
1222297127,,-1
1222297099,,0
1222297097,,-1
1222297096,,-1
1222297008,,-1
1222296984,,-1
1222296956,,-1
1222296804,,-1
1222296793,,-1
1222282549,,-1
1222281235,,-1
1222281221,,0
1222281204,,0
1222306553,,-1
1222306551,,-1
1222283894,,-1
1222298260,,-1
1222298183,,-2
1222303699,,-1
1222303689,,-1
1222303685,,-1
1222303676,,-1
1222303674,,-1
1222303673,,0
1222303669,,-1
1222290128,,-1
1222290106,,0
1222310317,,-1
1222310295,,-1
1222282591,,-1
1222281592,,-1
1222303492,,0
1222303422,,-1
1222303421,,-1
1222303420,,-1
1222303410,,0
1222303408,,-1
1222303387,,-1
1222303360,,-1
1222303352,,-1
1222303328,,-1
1222303326,,-1
1222303312,,-1
1222303251,,-1
1222303087,,-1
1222303086,,-1
1222302374,,0
1222302646,,-1
1222302588,,-1
1222303862,,-1
1222303840,,-1
1222303833,,-1
1222303758,,-1
1222279862,,0
1222296627,,0
1222310464,,0
1222300736,,-1
1222300642,,-1
1222280234,,-1
1222280034,,0
1222279990,,-1
1222288836,,-1
1222287290,,-1
1222307930,,-1
1222307902,,0
1222283389,,-1
1222292002,,-1
1222291946,,-1
1222291925,,-1
1222309686,,-1
1222309669,,-1
